type,created,latitude,longitude,no_sighted,data_source_id,data_source_comments,m,day,year,month,date,date_ymd,J,K,L,biggs,sum_jkl,sum_jkl_biggs,south,southeast,southwest,north,northeast,northwest,east,west,dir_sum
Southern Resident Killer Whale,2021-02-05 02:20:00,48.55443,-123.17447,30.0,124630.0,"Faint SRKW calls detected at Orcasound Lab (including S16 calls, implying K pod)",2,5,2021,Feb,Feb-5,2021-2-5,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2021-02-08 02:58:00,48.77794,-123.04136,30.0,124631.0,J pod northbound,2,8,2021,Feb,Feb-8,2021-2-8,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1
Southern Resident Killer Whale,2021-03-09 22:24:00,48.52408,-123.16933,24.0,125122.0,"FB WSSJI: J pod seen from Lime Kiln (right of Sidney, approaching fast)",3,9,2021,Mar,Mar-9,2021-3-9,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2021-03-09 22:24:00,48.52408,-123.16933,24.0,125122.0,"FB WSSJI: J pod seen from Lime Kiln (right of Sidney, approaching fast)",3,9,2021,Mar,Mar-9,2021-3-9,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2021-03-09 22:26:00,48.5234,-123.16693,24.0,125124.0,"FB WSSJI: J pod seen from Lime Kiln (right of Sidney, approaching fast)",3,9,2021,Mar,Mar-9,2021-3-9,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2021-03-09 22:26:00,48.52897,-123.17225,24.0,125120.0,"FB WSSJI: J pod seen from Lime Kiln ""right of Sidney"" ""approaching fast",3,9,2021,Mar,Mar-9,2021-3-9,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2021-03-09 22:26:00,48.52897,-123.17225,24.0,125120.0,"FB WSSJI: J pod seen from Lime Kiln ""right of Sidney"" ""approaching fast",3,9,2021,Mar,Mar-9,2021-3-9,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2021-03-09 22:26:00,48.5234,-123.16693,24.0,125124.0,"FB WSSJI: J pod seen from Lime Kiln (right of Sidney, approaching fast)",3,9,2021,Mar,Mar-9,2021-3-9,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2021-03-09 22:26:00,48.52612,-123.16805,24.0,125123.0,"FB WSSJI: J pod seen from Lime Kiln (right of Sidney, approaching fast)",3,9,2021,Mar,Mar-9,2021-3-9,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2021-03-09 22:52:00,48.47242,-123.16965,24.0,125121.0,FB WSSJI: J pod off Land Bank,3,9,2021,Mar,Mar-9,2021-3-9,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2021-03-10 17:57:00,48.51645,-123.16794,24.0,125118.0,"LK ""SRKW calls"" via FB WSSJI",3,10,2021,Mar,Mar-10,2021-3-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2021-03-10 18:32:00,48.51032,-123.16144,24.0,125119.0,"FB WSSJI ""southbound at lighthouse"" ""loud & clear""",3,10,2021,Mar,Mar-10,2021-3-10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Southern Resident Killer Whale,2021-03-28 19:45:00,48.5528,-123.18341,24.0,126153.0,J pod calls heard on Orcasound Lab hydrophone,3,28,2021,Mar,Mar-28,2021-3-28,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2021-06-25 19:00:00,49.26957,-126.25306,24.0,130327.0,OBI: J pod off Tofino via Instagram IDs,6,25,2021,Jun,Jun-25,2021-6-25,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
