Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Bonneville,1949-01-01,,,,,,,,,,,,,,3.1
Bonneville,1949-01-02,,,,1,,,,,,,,,,3.1
Bonneville,1949-01-03,,,,,,,,,,,,,,3.1
Bonneville,1949-01-04,,,,,,,,,,,,,,3.3
Bonneville,1949-01-05,,,,,,,,,,,,,,1.7
Bonneville,1949-01-06,,,,,,,,,,,,,,3.3
Bonneville,1949-01-07,,,,,,,,,,,,,,3.3
Bonneville,1949-01-08,,,,,,,,,,,,,,3.3
Bonneville,1949-01-09,,,,,,,,,,,,,,3.3
Bonneville,1949-01-10,,,,,,,,,,,,,,3.3
Bonneville,1949-01-11,,,,,,,,,,,,,,3.1
Bonneville,1949-01-12,,,,,,,,,,,,,,2.8
Bonneville,1949-01-13,,,,,,,,,,,,,,2.8
Bonneville,1949-01-14,,,,,,,,,,,,,,2.8
Bonneville,1949-01-15,,,,,,,,,,,,,,2.8
Bonneville,1949-01-16,,,,,,,,,,,,,,2.8
Bonneville,1949-01-17,,,,,,,,,,,,,,2.8
Bonneville,1949-01-18,,,,,,,,,,,,,,2.8
Bonneville,1949-01-19,,,,,,,,,,,,,,2.8
Bonneville,1949-01-20,,,,,,,,,,,,,,2.8
Bonneville,1949-01-21,,,,,,,,,,,,,,2.8
Bonneville,1949-01-22,,,,,,,,,,,,,,0.3
Bonneville,1949-01-23,,,,,,,,,,,,,,0.3
Bonneville,1949-01-24,,,,,,,,,,,,,,0.3
Bonneville,1949-01-25,,,,,,,,,,,,,,0.3
Bonneville,1949-01-26,,,,,,,,,,,,,,0.3
Bonneville,1949-01-27,,,,,,,,,,,,,,0.3
Bonneville,1949-01-28,,,,,,,,,,,,,,0.3
Bonneville,1949-01-29,,,,,,,,,,,,,,0.3
Bonneville,1949-01-30,,,,,,,,,,,,,,0.3
Bonneville,1949-01-31,,,,,,,,,,,,,,0.3
Bonneville,1949-02-01,,,,,,,,,,,,,,
Bonneville,1949-02-02,,,,,,,,,,,,,,
Bonneville,1949-02-03,,,,,,,,,,,,,,
Bonneville,1949-02-04,,,,,,,,,,,,,,
Bonneville,1949-02-05,,,,,,,,,,,,,,
Bonneville,1949-02-06,,,,,,,,,,,,,,
Bonneville,1949-02-07,,,,,,,,,,,,,,
