SightDate,Time1,Time2,Month,Day,Year,pod,likelypod,Direction,FishArea,Quadrant,latitude,longitude,Source,j_pod,j_likelypod,j,j_tag,k_pod,k_likelypod,k,k_tag,l_pod,l_likelypod,l,l_tag,pod_tag
1986-01-19,12:00:00,1200,1,19.0,1986,orcas,srs,N,2019-08-02 00:00:00,386,47.9624,-122.292,TWM-SA-Rel,0,0,0,,0,0,0,,0,0,0,,
1986-01-20,10:00:00,1000,1,20.0,1986,orcas,srs,N,7,181,48.5065,-123.1786,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1986-01-20,10:30:00,1030,1,20.0,1986,orcas,srs,N,7,176,48.5602,-123.2168,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1986-02-04,12:45:00,1245,2,4.0,1986,orcas,srs,W,7,185,48.4454,-123.0354,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1986-02-04,13:45:00,1345,2,4.0,1986,orcas,srs,N,7,181,48.5065,-123.1786,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1986-02-04,14:16:00,1416,2,4.0,1986,j,nan,N,7,181,48.5065,-123.1786,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,J
1986-02-04,14:35:00,1435,2,4.0,1986,j,nan,N,7,181,48.5065,-123.1786,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,J
1986-02-04,15:00:00,1500,2,4.0,1986,j,nan,W,19C,177,48.5606,-123.2902,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,J
1986-02-08,14:30:00,1430,2,8.0,1986,orcas,nan,W,19C,231,48.4089,-123.294,TWM-SA-Rel,0,0,0,,0,0,0,,0,0,0,,
1986-02-22,10:40:00,1040,2,22.0,1986,orcas,nan,N,7,167,48.6408,-123.0779,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1986-03-01,,,3,1.0,1986,orcas,nan,,9,401,47.8102,-122.4274,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1986-03-02,14:00:00,1400,3,2.0,1986,orcas,nan,N,7,193,48.6617,-123.014,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1986-03-02,14:30:00,1430,3,2.0,1986,orcas,nan,S,11,416,47.4177,-122.3619,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1986-03-13,14:00:00,1400,3,13.0,1986,j,nan,S,17C,54,49.1818,-123.88,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,J
1986-03-26,12:55:00,1255,3,26.0,1986,orcas,nan,SW,13,433,47.308,-122.8179,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1986-03-26,15:15:00,1515,3,26.0,1986,orcas,nan,NE,13,433,47.308,-122.8179,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1986-04-06,12:00:00,1200,4,6.0,1986,orcas,srs,S,7,150,48.7628,-122.9628,TWM-SA-Rel,0,0,0,,0,0,0,,0,0,0,,
1986-04-06,18:00:00,1800,4,6.0,1986,orcas,srs,S,7,169,48.6266,-123.1794,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1986-04-06,18:20:00,1820,4,6.0,1986,orcas,srs,S,7,176,48.5602,-123.2168,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1986-04-06,18:30:00,1830,4,6.0,1986,orcas,srs,S,7,181,48.5065,-123.1786,TWM-SA-Rel,0,0,0,,0,0,0,,0,0,0,,
1986-04-06,,,4,6.0,1986,orcas,srs,W,18C,152,48.7453,-123.0889,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1986-04-07,,,4,7.0,1986,lp,nan,,2,,,,TWM-SA-Rel,0,0,0,,0,0,0,,1,0,1,L,L
1986-04-15,15:30:00,1530,4,15.0,1986,orcas,nan,,7,97,48.9892,-123.1057,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1986-04-16,08:40:00,840,4,16.0,1986,orcas,nan,S,7,176,48.5602,-123.2168,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1986-04-20,13:00:00,1300,4,20.0,1986,orcas,srs,N,10,407,47.6849,-122.4389,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1986-04-24,07:30:00,730,4,24.0,1986,orcas,nan,W,7,189,48.5799,-122.8595,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1986-04-26,14:10:00,1410,4,26.0,1986,orcas,j,NE,7,181,48.5065,-123.1786,TWM-SA-Pub,0,1,1,J,0,0,0,,0,0,0,,J
1986-04-26,14:30:00,1430,4,26.0,1986,j,nan,N,7,176,48.5602,-123.2168,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,J
1986-05-01,19:00:00,1900,5,1.0,1986,orcas,srs,S,7,181,48.5065,-123.1786,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1986-05-01,20:00:00,2000,5,1.0,1986,orcas,srs,mill,7,181,48.5065,-123.1786,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1986-05-01,20:00:00,2000,5,1.0,1986,orcas,srs,mill,7,181,48.5065,-123.1786,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1986-05-03,08:00:00,800,5,3.0,1986,orcas,nan,N,29C,124,48.8866,-123.295,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1986-05-03,10:40:00,1040,5,3.0,1986,orcas,nan,SE,7,196,48.7151,-122.8291,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1986-05-03,,,5,3.0,1986,orcas,nan,N,7,198,48.6712,-122.7419,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1986-05-09,13:00:00,1300,5,9.0,1986,orcas,nan,S,7,176,48.5602,-123.2168,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1986-05-10,16:00:00,1600,5,10.0,1986,orcas,nan,N,7,170,48.6562,-123.243,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1986-05-14,20:20:00,2020,5,14.0,1986,orcas,nan,S,7,169,48.6266,-123.1794,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1986-05-15,06:15:00,615,5,15.0,1986,orcas,nan,N,7,176,48.5602,-123.2168,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1986-05-15,08:45:00,845,5,15.0,1986,orcas,nan,N,7,188,48.5386,-122.9544,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1986-05-17,07:00:00,700,5,17.0,1986,j?,nan,N,7,186,48.4412,-122.9393,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,J
1986-05-17,09:20:00,920,5,17.0,1986,j,nan,N,7,176,48.5602,-123.2168,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,J
1986-05-20,16:43:00,1643,5,20.0,1986,orcas,nan,S,7,181,48.5065,-123.1786,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1986-05-20,20:30:00,2030,5,20.0,1986,orcas,j,S,7,181,48.5065,-123.1786,TWM-SA-Rel,0,1,1,J,0,0,0,,0,0,0,,J
1986-05-21,11:00:00,1100,5,21.0,1986,orcas,j,N,7,181,48.5065,-123.1786,TWM-SA-Pub,0,1,1,J,0,0,0,,0,0,0,,J
1986-05-21,12:00:00,1200,5,21.0,1986,j,nan,N,7,176,48.5602,-123.2168,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,J
1986-05-21,12:10:00,1210,5,21.0,1986,orcas,j,N,7,176,48.5602,-123.2168,TWM-SA-Pub,0,1,1,J,0,0,0,,0,0,0,,J
1986-05-21,14:35:00,1435,5,21.0,1986,j,nan,N,18C,163,48.711,-123.2655,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,J
1986-05-23,07:15:00,715,5,23.0,1986,j,nan,S,7,176,48.5602,-123.2168,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,J
1986-05-23,08:30:00,830,5,23.0,1986,orcas,j,,7,186,48.4412,-122.9393,TWM-SA-Pub,0,1,1,J,0,0,0,,0,0,0,,J
1986-05-24,16:30:00,1630,5,24.0,1986,orcas,nan,E,19C,229,48.4128,-123.1631,TWM-SA-Rel,0,0,0,,0,0,0,,0,0,0,,
1986-05-25,10:00:00,1000,5,25.0,1986,orcas,l,W,20C,260,48.3155,-123.5625,TWM-SA-Pub,0,0,0,,0,0,0,,0,1,1,L,L
1986-05-25,10:30:00,1030,5,25.0,1986,l,nan,,20C,260,48.3155,-123.5625,TWM-SA-Rel,0,0,0,,0,0,0,,1,0,1,L,L
1986-05-25,13:00:00,1300,5,25.0,1986,orcas,l,W,20C,269,48.3625,-123.9645,TWM-SA-Pub,0,0,0,,0,0,0,,0,1,1,L,L
1986-05-25,16:00:00,1600,5,25.0,1986,orcas,nan,N,18C,163,48.711,-123.2655,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1986-05-26,17:00:00,1700,5,26.0,1986,j,nan,S,7,176,48.5602,-123.2168,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,J
1986-05-26,18:00:00,1800,5,26.0,1986,orcas,j,S,7,181,48.5065,-123.1786,TWM-SA-Pub,0,1,1,J,0,0,0,,0,0,0,,J
1986-05-27,10:20:00,1020,5,27.0,1986,k?,nan,S,7,176,48.5602,-123.2168,TWM-SA-Rel,0,0,0,,1,0,1,K,0,0,0,,K
1986-05-27,10:45:00,1045,5,27.0,1986,orcas,k,S,7,181,48.5065,-123.1786,TWM-SA-Pub,0,0,0,,0,1,1,K,0,0,0,,K
1986-05-27,13:05:00,1305,5,27.0,1986,k,nan,N,7,185,48.4454,-123.0354,TWM-SA-Rel,0,0,0,,1,0,1,K,0,0,0,,K
1986-05-27,14:30:00,1430,5,27.0,1986,orcas,k,,7,181,48.5065,-123.1786,TWM-SA-Rel,0,0,0,,0,1,1,K,0,0,0,,K
1986-05-27,15:35:00,1535,5,27.0,1986,k,nan,N,7,176,48.5602,-123.2168,TWM-SA-Rel,0,0,0,,1,0,1,K,0,0,0,,K
1986-05-27,16:15:00,1615,5,27.0,1986,k,nan,N,7,169,48.6266,-123.1794,TWM-SA-Rel,0,0,0,,1,0,1,K,0,0,0,,K
1986-05-27,17:33:00,1733,5,27.0,1986,k,nan,N,7,169,48.6266,-123.1794,TWM-SA-Rel,0,0,0,,1,0,1,K,0,0,0,,K
1986-05-28,08:00:00,800,5,28.0,1986,orcas,k,N,7,181,48.5065,-123.1786,TWM-SA-Pub,0,0,0,,0,1,1,K,0,0,0,,K
1986-05-28,08:50:00,850,5,28.0,1986,k,nan,N,7,176,48.5602,-123.2168,TWM-SA-Rel,0,0,0,,1,0,1,K,0,0,0,,K
1986-05-28,09:15:00,915,5,28.0,1986,orcas,k,mill,7,176,48.5602,-123.2168,TWM-SA-Pub,0,0,0,,0,1,1,K,0,0,0,,K
1986-05-28,11:00:00,1100,5,28.0,1986,orcas,k,S,7,176,48.5602,-123.2168,TWM-SA-Rel,0,0,0,,0,1,1,K,0,0,0,,K
1986-05-28,11:00:00,1100,5,28.0,1986,k?,nan,S,7,176,48.5602,-123.2168,TWM-SA-Rel,0,0,0,,1,0,1,K,0,0,0,,K
1986-05-28,11:05:00,1105,5,28.0,1986,j,nan,S,7,176,48.5602,-123.2168,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,J
1986-05-28,16:45:00,1645,5,28.0,1986,k,nan,S,7,181,48.5065,-123.1786,TWM-SA-Rel,0,0,0,,1,0,1,K,0,0,0,,K
